genome_id	genus	species	original_status_I30	risk_category_curated	action	A1_risk	A2_risk	A3_risk	A4_risk	curation_note
Prob140_Escherichia_coli_C56	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	1.0	0.7974545454545455	1.0	Risk categories are expert-review aids. Only release-table rows alter status.
Prob141_Escherichia_coli_C45	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	0.9805194805194806	0.6776363636363637	0.9636363636363636	Risk categories are expert-review aids. Only release-table rows alter status.
Prob150_Bacillus_amyloliquefaciens_BA11	Bacillus	Bacillus amyloliquefaciens	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.3272727272727272	0.1653846153846153	Risk categories are expert-review aids. Only release-table rows alter status.
Prob151_Bacillus_amyloliquefaciens_BA40	Bacillus	Bacillus amyloliquefaciens	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.2954545454545454	0.1653846153846153	Risk categories are expert-review aids. Only release-table rows alter status.
Prob163_Bacillus_amyloliquefaciens_TL106	Bacillus	Bacillus amyloliquefaciens	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.359090909090909	0.2017482517482517	Risk categories are expert-review aids. Only release-table rows alter status.
Prob179_Corynebacterium_amycolatum_ICIS25	Corynebacterium	Corynebacterium amycolatum	Safety-review	true_safety_review_opportunistic_taxon	retain_current_non_priority	0.0	0.0	0.2318181818181818	0.2269230769230769	Risk categories are expert-review aids. Only release-table rows alter status.
Prob183_Paenibacillus_polymyxa_ATCC_842	Paenibacillus	Paenibacillus polymyxa	Insufficient-probiogenomic-evidence	weak_probio_evidence_or_environmental_profile	retain_current_non_priority	0.0	0.0	0.209090909090909	0.1961538461538461	Risk categories are expert-review aids. Only release-table rows alter status.
Prob193_Enterococcus_faecalis_ATCC_700802	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.3863636363636363	0.1753246753246753	0.376	0.4367132867132868	Risk categories are expert-review aids. Only release-table rows alter status.
Prob195_Bacillus_velezensis_LOH112	Bacillus	Bacillus velezensis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.359090909090909	0.1961538461538461	Risk categories are expert-review aids. Only release-table rows alter status.
Prob196_Escherichia_coli_DH5a	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	0.474025974025974	0.5412727272727272	0.6134615384615385	Risk categories are expert-review aids. Only release-table rows alter status.
